Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Hopper, Jacob",20,207,72,231,438,9,4,,75,33,77,80,76,23,17,1,176,262,1,6,9,1,12
"Rae, Stephen",20,165,33,85,250,11,14,,,,,,,24,38,,,,,,,,
"Peardon, Derek",20,185,41,55,240,1,2,,,,,,,34,24,,,,,,,,
"Graham, Mark",20,130,64,93,223,2,,12,17,34,32,13,33,13,13,,90,123,9,2,63,,3
"Hislop, Tom",20,100,66,113,213,10,8,1,50,10,31,18,53,17,34,,89,130,6,10,31,,12
"Hernaman, Wayne",20,153,30,56,209,9,10,,21,,,,,24,24,,,,,,,,
"Townsend, Jacob",20,111,59,89,200,28,9,5,72,5,38,13,61,13,35,1,91,107,8,21,24,,10
"Tarrant, Robbie",20,115,89,82,197,,,,21,37,20,4,42,11,24,,81,119,11,,137,,1
"Gibcus, Josh",20,106,64,69,175,3,1,4,26,47,13,1,36,13,11,,72,107,13,2,127,,3
"McKee, Steven",20,66,39,70,136,1,1,95,16,11,25,25,9,11,4,,59,43,11,1,9,,
"Proctor, Lionel",20,75,29,31,106,4,1,,24,12,13,11,16,4,12,,40,56,3,2,15,1,
"Gaunt, Graham",19,188,45,100,288,8,11,18,,,,,,23,46,5,,,,,,,
"Gowers, Trevor",19,234,50,21,255,2,,,,,,,,19,18,,,,,,,,
"Francis, Matthew",19,170,55,60,230,13,12,2,9,,,,,20,19,,,,,,,,
"Menegola, Todd",19,162,56,65,227,13,18,1,17,,,,,11,13,,,,,,,,
"Scott, Allister",19,123,51,82,205,10,9,5,22,,,,,33,15,,,,,,,,
"Blumfield, Justin",19,87,49,87,174,5,1,3,19,9,25,21,17,10,5,,77,104,6,3,22,2,6
"Ryan, Samson",19,80,49,42,122,14,5,205,13,12,24,20,32,11,14,,62,63,12,16,38,,3
"Sartori, Ian",18,180,60,84,264,7,11,2,,,,,,29,40,,,,,,,,
"Preston, Andy",18,132,35,114,246,6,7,,,,,,,35,60,1,,,,,,,
"Geary, Richard",18,153,49,87,240,10,9,,,,,,,21,18,,,,,,,,
"Naylor, Greg",18,127,35,62,189,4,8,,,,,,,16,24,,,,,,,,
"Plapp, Justin",18,86,62,49,135,22,7,,15,4,23,5,12,11,17,1,38,27,16,13,7,,
"Jurica, Stephen",18,80,44,35,115,25,22,17,10,,,,,11,18,,,,,,,,
"Collins, Dennis",17,178,39,86,264,2,9,2,,,,,,23,30,5,,,,,,,
"Gahan, Graeme",17,226,36,25,251,,,2,,,,,,35,29,1,,,,,,,
"Murphy, Ted",17,192,61,35,227,1,,10,,,,,,19,22,5,,,,,,,
"Freame, Daryl",17,119,13,79,198,5,4,2,,,,,,27,25,2,,,,,,,
"Frangalas, Gary",17,148,57,47,195,2,4,,9,,,,,30,19,3,,,,,,,
"Griffiths, Stuart",17,97,30,98,195,14,9,,13,,,,,10,11,1,,,,,,,
"Clarke, Judson",17,87,37,57,144,14,4,,22,6,35,8,26,7,3,,59,91,2,8,11,8,1
"Meyer, Danny",17,83,34,52,135,7,4,,30,7,28,7,21,9,11,,57,80,2,5,17,2,4
"Ablett, Geoff",16,216,46,46,262,12,17,,,,,,,19,30,1,,,,,,,
"McKenzie, Des",16,182,33,35,217,,,,,,,,,26,40,2,,,,,,,
"Webberley, Jeromey",16,108,47,69,177,3,1,,26,20,26,13,15,5,9,,48,129,2,,8,1,2
"Helbig, Brad",16,83,42,65,148,4,3,,25,11,17,4,23,12,6,,45,102,2,3,6,3,2
"Hammond, Mike",16,114,32,23,137,5,8,4,,,,,,9,14,,,,,,,,
"Madigan, Owen",16,126,29,10,136,1,1,,,,,,,15,18,,,,,,,,
"Nugent, Michael",16,77,30,47,124,2,2,65,,,,,,19,17,,,,,,,,
"Hughes, Cleve",16,69,52,38,107,23,13,2,13,4,10,1,13,14,3,,42,66,8,21,6,1,1
"McInnes, George",16,65,27,24,89,6,11,106,,,,,,15,36,,,,,,,,
"Thomas, Matt",15,92,58,213,305,6,,1,83,8,26,60,49,15,35,,145,172,3,3,24,,9
"Nettlefold, Bill",15,121,20,60,181,6,5,1,,,,,,18,34,,,,,,,,
"Hewitt, Glynn",15,97,27,47,144,15,11,,,,,,,17,18,,,,,,,,
"Sheahan, John",15,133,32,11,144,11,17,,,,,,,11,14,,,,,,,,
"Summers, Mark",15,109,73,33,142,4,5,27,7,,,,,9,16,,,,,,,,
"Smythe, Keith",15,110,16,16,126,8,13,,,,,,,9,14,,,,,,,,
"Taubert, Steven",15,81,39,19,100,14,13,52,,,,,,16,11,,,,,,,,
"Herman, Ian",14,140,24,92,232,6,10,2,13,,,,,18,20,,,,,,,,
"Brown, Mal",14,98,40,91,189,25,17,,,,,,,21,39,,,,,,,,
"Brown, Tom",14,124,55,63,187,,3,,16,36,19,5,26,5,4,,71,117,6,1,29,1,3
"Wigney, Stuart",14,107,50,53,160,1,2,4,5,,,,,11,5,4,,,,,,,
"Campbell, Seth",14,100,45,60,160,7,7,,33,9,34,7,31,5,6,,61,100,1,6,14,10,6
"Thompson, Murray",14,112,22,41,153,3,3,,,,,,,27,20,,,,,,,,
"Barling, Tim",14,81,52,69,150,1,2,114,,,,,,19,41,2,,,,,,,
"Dundas, Matthew",14,106,25,43,149,5,4,,14,,,,,14,11,,,,,,,,
"Blurton, Ashley",14,86,37,62,148,7,7,,11,9,25,13,8,6,9,,28,59,2,6,6,,
"Garthwaite, Ryan",14,78,46,55,133,,,,29,37,10,1,27,7,8,,35,95,3,,108,1,
"Nalder, Bill",14,64,31,20,84,5,7,41,,,,,,12,35,,,,,,,,
"Mills, Andrew",14,50,22,21,71,5,3,,3,2,16,2,6,4,3,,28,44,1,5,9,4,
"Waterson, Colin",13,117,38,89,206,9,10,12,,,,,,24,11,,,,,,,,
"Hywood, Steve",13,109,20,40,149,,,3,,,,,,21,45,,,,,,,,
"Banks, Sam",13,96,31,48,144,1,3,,18,25,19,7,27,6,5,,38,99,2,1,17,,2
"Foley, Dan",13,69,44,74,143,9,6,16,,,,,,14,35,1,,,,,,,
"Rombotis, John",13,43,20,64,107,2,3,1,9,5,20,22,14,8,3,,42,34,1,1,10,,
"Robbins, Graham",13,80,20,24,104,9,12,2,,,,,,13,18,,,,,,,,
"Oakley-Nicholls, Jarrad",13,72,61,27,99,1,1,,16,5,15,4,28,2,10,,23,80,2,8,15,9,2
"Lovett, Wally",13,52,16,36,88,6,8,,,,,,,11,10,,,,,,,,
"Underwood, Andrew",12,128,26,61,189,4,3,1,11,,,,,6,15,2,,,,,,,
"Edwards, Aaron",12,103,70,61,164,15,11,,24,6,30,3,20,12,6,2,72,91,15,26,20,,7
"Roberts, Michael",12,119,9,29,148,4,2,,,,,,,17,19,3,,,,,,,
"Shand, Wayne",12,107,27,37,144,1,1,,,,,,,17,8,,,,,,,,
"Esler, Ty",12,55,45,79,134,,2,119,8,,,,,15,29,,,,,,,,
"Browne, Andrew",12,18,24,85,103,2,1,184,19,4,5,20,28,15,19,,56,50,6,4,26,,2
"Stonehouse, Ken",12,58,21,31,89,4,4,1,,,,,,18,10,,,,,,,,
"Ball, Ray",12,71,21,16,87,,,,,,,,,10,14,,,,,,,,
"Murphy, Justin",12,56,21,17,73,9,16,,4,,,,,7,12,,,,,,,,
"Wallace, Terry",11,171,30,99,270,7,8,,19,,,,,25,18,3,,,,,,,
"Collier-Dawkins, Riley",11,65,25,92,157,3,,,38,4,23,35,31,6,12,,68,97,,3,9,1,2
"Einsiedel, John",11,90,27,51,141,1,3,2,,,,,,20,19,,,,,,,,
